condition,stim,resp.keys,resp.corr,resp.rt
incongruent,X,None,0,
congruent,X,m,1,0.2489616
incongruent,O,z,1,0.369175
congruent,O,z,1,0.595593
incongruent,X,m,1,0.3807875
congruent,X,m,1,0.7737248
incongruent,O,z,1,0.4217071
congruent,O,z,1,0.3278828
incongruent,X,m,1,0.2717906
congruent,X,m,1,0.4169915
incongruent,O,z,1,0.4109275
congruent,O,z,1,0.3082778
incongruent,X,m,1,0.2690587
congruent,X,m,1,0.2226997
incongruent,O,z,1,0.3756664
congruent,O,z,1,0.2162924
incongruent,X,m,1,0.2403913
congruent,X,m,1,0.2334474
incongruent,O,z,1,0.3313345
congruent,O,z,1,0.2281418
incongruent,X,m,1,0.4778094
congruent,X,m,1,0.238524
incongruent,O,z,1,0.2483907
congruent,O,z,1,0.1777008
incongruent,X,m,1,0.4338438
congruent,X,m,1,0.234519
incongruent,O,z,1,0.3003205
congruent,O,z,1,0.452704
incongruent,X,m,1,0.3010346
congruent,X,m,1,0.2070976
incongruent,O,z,1,0.2639298
congruent,O,z,1,0.2092946
incongruent,X,m,1,0.4106508
congruent,X,m,1,0.1872247
incongruent,O,z,1,0.2845617
congruent,O,z,1,0.190657
incongruent,X,z,0,0.1758531
congruent,X,m,1,0.3192705
incongruent,O,z,1,0.3360036
congruent,O,z,1,0.3694662
