condition,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text_2.started,text_2.stopped,fixation_cross.started,fixation_cross.stopped,left_stim.started,left_stim.stopped,right_stim.started,right_stim.stopped,ITI.started,ITI.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,participant,session,counterbalance,date,expName,psychopyVersion,frameRate
incongruent,X,0,0,0,0,21.0511232,None,36.044538,None,38.0439897,None,40.04312,None,42.061453,None,44.0418944,None,64.0740556,65.0850455,64.0740556,65.0850455,64.0740556,65.0850455,65.0686058,None,m,1,1.1785632,64.2686016,None,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,X,0,1,1,1,,,,,,,,,,,,,66.0752048,67.0841086,66.0752048,67.0841086,66.0752048,67.0841086,67.0676634,66.0752048,m,1,0.4666982,66.2677654,66.0752048,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,O,0,2,2,2,,,,,,,,,,,,,68.071586,69.0833717,68.071586,69.0833717,68.071586,69.0833717,69.0502823,68.071586,z,1,0.3556421,68.2503945,68.071586,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,O,0,3,3,3,,,,,,,,,,,,,70.0543005,71.0662642,70.0543005,71.0662642,70.0543005,71.0662642,71.0331606,70.0543005,z,1,0.3334587,70.233171,70.0543005,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,X,1,0,4,0,,,,,,,,,,,,,72.0367366,73.0487004,72.0367366,73.0487004,72.0367366,73.0487004,73.015613,72.0367366,m,1,0.4384041,72.215654,72.0367366,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,X,1,1,5,1,,,,,,,,,,,,,74.0193305,75.0315352,74.0193305,75.0315352,74.0193305,75.0315352,74.998651,74.0193305,m,1,0.144348,74.1984096,74.0193305,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,O,1,2,6,2,,,,,,,,,,,,,76.0023337,77.0140931,76.0023337,77.0140931,76.0023337,77.0140931,76.9811094,76.0023337,z,1,0.3050548,76.180974,76.0023337,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,O,1,3,7,3,,,,,,,,,,,,,77.9851062,78.9968916,77.9851062,78.9968916,77.9851062,78.9968916,78.963852,77.9851062,z,1,0.3382741,78.1637738,77.9851062,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,X,2,0,8,0,,,,,,,,,,,,,79.9675414,80.9794654,79.9675414,80.9794654,79.9675414,80.9794654,80.9462825,79.9675414,m,1,0.355681,80.1463672,79.9675414,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,X,2,1,9,1,,,,,,,,,,,,,81.9503126,82.9621115,81.9503126,82.9621115,81.9503126,82.9621115,82.9291353,81.9503126,m,1,0.1577073,82.1290811,81.9503126,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,O,2,2,10,2,,,,,,,,,,,,,83.9329708,84.9445976,83.9329708,84.9445976,83.9329708,84.9445976,84.9117548,83.9329708,z,1,0.2863889,84.1116586,83.9329708,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,O,2,3,11,3,,,,,,,,,,,,,85.915615,86.9273683,85.915615,86.9273683,85.915615,86.9273683,86.8942878,85.915615,z,1,0.312557,86.0943717,85.915615,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,X,3,0,12,0,,,,,,,,,,,,,87.8988114,88.9100386,87.8988114,88.9100386,87.8988114,88.9100386,88.8770187,87.8988114,z,0,0.2333144,88.0771929,87.8988114,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,X,3,1,13,1,,,,,,,,,,,,,89.8809287,90.8928728,89.8809287,90.8928728,89.8809287,90.8928728,90.8601387,89.8809287,m,1,0.2023792,90.0597727,91.8587018,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,O,3,2,14,2,,,,,,,,,,,,,91.87995,92.8920032,91.87995,92.8920032,91.87995,92.8920032,92.8588311,91.87995,z,1,0.2917979,92.0589167,None,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
congruent,O,3,3,15,3,,,,,,,,,,,,,93.8629197,94.8747051,93.8629197,94.8747051,93.8629197,94.8747051,94.8414219,93.8629197,z,1,0.2524171,94.041743,93.8629197,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
incongruent,X,4,0,16,0,,,,,,,,,,,,,95.8456041,96.8573971,95.8456041,96.8573971,95.8456041,96.8573971,96.8242414,95.8456041,m,1,0.2536422,96.0245009,95.8456041,4,1,0,2021_Mar_23_1750,simon_task,2020.2.10,59.86869597
